geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
R-HSA-3000170	Syndecan interactions	http://reactome.org/PathwayBrowser/#/R-HSA-3000170	0.9097267022282612	1.4670891598381004	0	0.06269433141628628	20	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_3000170.png	13	1277;2335;3688;1289;1290;6382;5578;3655;3371;3685;7040;3673;7057	COL1A1;COL5A1;COL5A2;FN1;ITGA2;ITGA6;ITGAV;ITGB1;PRKCA;SDC1;TGFB1;THBS1;TNC
R-HSA-430116	GP1b-IX-V activation signalling	http://reactome.org/PathwayBrowser/#/R-HSA-430116	0.9673111686177733	1.4652396756324064	0.0020986358844715257	0.0636008812914101	6	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_430116.png	2	1277;2316	COL1A1;FLNA
R-HSA-3000480	Scavenging by Class A Receptors	http://reactome.org/PathwayBrowser/#/R-HSA-3000480	0.951852363250425	1.4657917277099932	0.0020470829047624537	0.06413108157592896	8	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_3000480.png	3	1277;2512;2495	COL1A1;FTH1;FTL
R-HSA-1474290	Collagen formation	http://reactome.org/PathwayBrowser/#/R-HSA-1474290	0.8839238885295408	1.4638403096155348	0	0.06483277081710193	62	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_1474290.png	22	1277;5339;1508;1292;871;1291;4017;1293;8985;80781;5351;1289;79709;667;10536;1290;64175;10491;977;3655;84695;3914	CD151;COL18A1;COL1A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;COLGALT1;CRTAP;CTSB;DST;ITGA6;LAMB3;LOXL2;LOXL3;P3H1;P3H3;PLEC;PLOD1;PLOD3;SERPINH1
R-HSA-210991	Basigin interactions	http://reactome.org/PathwayBrowser/#/R-HSA-210991	0.9337984769058962	1.4639869460794805	0.0020161290302256763	0.06594645353619051	12	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_210991.png	7	3675;3688;8140;481;3655;9123;857	ATP1B1;CAV1;ITGA3;ITGA6;ITGB1;SLC16A3;SLC7A5
R-HSA-419037	NCAM1 interactions	http://reactome.org/PathwayBrowser/#/R-HSA-419037	0.8990149054570458	1.462472952352899	0	0.06702457052311686	28	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_419037.png	8	1292;1291;375790;1293;1289;1290;4684;5621	AGRN;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;NCAM1;PRNP
R-HSA-8875878	MET promotes cell motility	http://reactome.org/PathwayBrowser/#/R-HSA-8875878	0.8987887504805071	1.4613174481162854	9.99999999e-4	0.06847103313591782	26	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_8875878.png	10	1277;2335;3912;3675;3915;3688;1289;3913;1290;64759	COL1A1;COL5A1;COL5A2;FN1;ITGA3;ITGB1;LAMB1;LAMB2;LAMC1;TNS3
R-HSA-1442490	Collagen degradation	http://reactome.org/PathwayBrowser/#/R-HSA-1442490	0.8872038342264367	1.4572784922378772	9.99999999e-4	0.07691788385714247	37	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_1442490.png	12	1277;1508;1292;1291;1293;80781;1289;1290;4323;8754;5045;1509	ADAM9;COL18A1;COL1A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;CTSB;CTSD;FURIN;MMP14
R-HSA-190873	Gap junction degradation	http://reactome.org/PathwayBrowser/#/R-HSA-190873	0.9609949294302177	1.4561499279820174	0.007494646672917937	0.07721608061264162	6	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_190873.png	3	71;1213;1173	ACTG1;AP2M1;CLTC
R-HSA-196025	Formation of annular gap junctions	http://reactome.org/PathwayBrowser/#/R-HSA-196025	0.9609949294302177	1.4561499279820174	0.007494646672917937	0.07721608061264162	6	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_196025.png	3	71;1213;1173	ACTG1;AP2M1;CLTC
R-HSA-446353	Cell-extracellular matrix interactions	http://reactome.org/PathwayBrowser/#/R-HSA-446353	0.923532459129443	1.4504238670825738	0.004024144865166856	0.08836396839582968	11	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_446353.png	3	71;2316;3688	ACTG1;FLNA;ITGB1
R-HSA-190828	Gap junction trafficking	http://reactome.org/PathwayBrowser/#/R-HSA-190828	0.904164516940515	1.4506663378437785	0.007007006999992986	0.08923667110781607	15	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_190828.png	4	71;7846;1213;1173	ACTG1;AP2M1;CLTC;TUBA1A
R-HSA-2214320	Anchoring fibril formation	http://reactome.org/PathwayBrowser/#/R-HSA-2214320	0.9248311137019464	1.4508764146902182	0.007092198574374672	0.09036356257870452	10	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_2214320.png	1	1277	COL1A1
