userId	geneSymbol	geneName	entrezgene	gLink
HOXB-AS1	HOXB-AS1	HOXB cluster antisense RNA 1	100874362	https://www.ncbi.nlm.nih.gov/gene/?term=100874362
CORIN	CORIN	corin, serine peptidase	10699	https://www.ncbi.nlm.nih.gov/gene/?term=10699
PCAT18	PCAT18	prostate cancer associated transcript 18	728606	https://www.ncbi.nlm.nih.gov/gene/?term=728606
OTOR	OTOR	otoraplin	56914	https://www.ncbi.nlm.nih.gov/gene/?term=56914
ABCC3	ABCC3	ATP binding cassette subfamily C member 3	8714	https://www.ncbi.nlm.nih.gov/gene/?term=8714
FAM238B	FAM238B	family with sequence similarity 238 member B	731789	https://www.ncbi.nlm.nih.gov/gene/?term=731789
TNFAIP8L3	TNFAIP8L3	TNF alpha induced protein 8 like 3	388121	https://www.ncbi.nlm.nih.gov/gene/?term=388121
LINC02024	LINC02024	long intergenic non-protein coding RNA 2024	105374057	https://www.ncbi.nlm.nih.gov/gene/?term=105374057
SMPX	SMPX	small muscle protein X-linked	23676	https://www.ncbi.nlm.nih.gov/gene/?term=23676
DDX3Y	DDX3Y	DEAD-box helicase 3 Y-linked	8653	https://www.ncbi.nlm.nih.gov/gene/?term=8653
ASPH	ASPH	aspartate beta-hydroxylase	444	https://www.ncbi.nlm.nih.gov/gene/?term=444
BLK	BLK	BLK proto-oncogene, Src family tyrosine kinase	640	https://www.ncbi.nlm.nih.gov/gene/?term=640
SAXO1	SAXO1	stabilizer of axonemal microtubules 1	158297	https://www.ncbi.nlm.nih.gov/gene/?term=158297
LINC00336	LINC00336	long intergenic non-protein coding RNA 336	401253	https://www.ncbi.nlm.nih.gov/gene/?term=401253
NEXN-AS1	NEXN-AS1	NEXN antisense RNA 1	374987	https://www.ncbi.nlm.nih.gov/gene/?term=374987
ACSM3	ACSM3	acyl-CoA synthetase medium chain family member 3	6296	https://www.ncbi.nlm.nih.gov/gene/?term=6296
MGP	MGP	matrix Gla protein	4256	https://www.ncbi.nlm.nih.gov/gene/?term=4256
FGF13	FGF13	fibroblast growth factor 13	2258	https://www.ncbi.nlm.nih.gov/gene/?term=2258
NR2E1	NR2E1	nuclear receptor subfamily 2 group E member 1	7101	https://www.ncbi.nlm.nih.gov/gene/?term=7101
PYY	PYY	peptide YY	5697	https://www.ncbi.nlm.nih.gov/gene/?term=5697
PARP10	PARP10	poly(ADP-ribose) polymerase family member 10	84875	https://www.ncbi.nlm.nih.gov/gene/?term=84875
HOXD10	HOXD10	homeobox D10	3236	https://www.ncbi.nlm.nih.gov/gene/?term=3236
IL1R2	IL1R2	interleukin 1 receptor type 2	7850	https://www.ncbi.nlm.nih.gov/gene/?term=7850
PAQR5	PAQR5	progestin and adipoQ receptor family member 5	54852	https://www.ncbi.nlm.nih.gov/gene/?term=54852
HOXA13	HOXA13	homeobox A13	3209	https://www.ncbi.nlm.nih.gov/gene/?term=3209
CDYL2	CDYL2	chromodomain Y like 2	124359	https://www.ncbi.nlm.nih.gov/gene/?term=124359
NRP2	NRP2	neuropilin 2	8828	https://www.ncbi.nlm.nih.gov/gene/?term=8828
MYMK	MYMK	myomaker, myoblast fusion factor	389827	https://www.ncbi.nlm.nih.gov/gene/?term=389827
TMEM271	TMEM271	transmembrane protein 271	112441426	https://www.ncbi.nlm.nih.gov/gene/?term=112441426
CHRM3	CHRM3	cholinergic receptor muscarinic 3	1131	https://www.ncbi.nlm.nih.gov/gene/?term=1131
NF1P11	NF1P11	neurofibromin 1 pseudogene 11	106481736	https://www.ncbi.nlm.nih.gov/gene/?term=106481736
IL1RAPL1	IL1RAPL1	interleukin 1 receptor accessory protein like 1	11141	https://www.ncbi.nlm.nih.gov/gene/?term=11141
NF1P10	NF1P10	neurofibromin 1 pseudogene 10	106480348	https://www.ncbi.nlm.nih.gov/gene/?term=106480348
NQO1	NQO1	NAD(P)H quinone dehydrogenase 1	1728	https://www.ncbi.nlm.nih.gov/gene/?term=1728
CXADRP2	CXADRP2	CXADR pseudogene 2	646243	https://www.ncbi.nlm.nih.gov/gene/?term=646243
NFKBIZ	NFKBIZ	NFKB inhibitor zeta	64332	https://www.ncbi.nlm.nih.gov/gene/?term=64332
PSG5	PSG5	pregnancy specific beta-1-glycoprotein 5	5673	https://www.ncbi.nlm.nih.gov/gene/?term=5673
HOMER3-AS1	HOMER3-AS1	HOMER3 antisense RNA 1	102724360	https://www.ncbi.nlm.nih.gov/gene/?term=102724360
TMPRSS15	TMPRSS15	transmembrane serine protease 15	5651	https://www.ncbi.nlm.nih.gov/gene/?term=5651
PCDHGA7	PCDHGA7	protocadherin gamma subfamily A, 7	56108	https://www.ncbi.nlm.nih.gov/gene/?term=56108
VSTM2L	VSTM2L	V-set and transmembrane domain containing 2 like	128434	https://www.ncbi.nlm.nih.gov/gene/?term=128434
CCDC140	CCDC140	coiled-coil domain containing 140	151278	https://www.ncbi.nlm.nih.gov/gene/?term=151278
HID1	HID1	HID1 domain containing	283987	https://www.ncbi.nlm.nih.gov/gene/?term=283987
TNS3	TNS3	tensin 3	64759	https://www.ncbi.nlm.nih.gov/gene/?term=64759
FLJ16779	FLJ16779	uncharacterized LOC100192386	100192386	https://www.ncbi.nlm.nih.gov/gene/?term=100192386
C3orf86	C3orf86	chromosome 3 open reading frame 86	102724231	https://www.ncbi.nlm.nih.gov/gene/?term=102724231
GSG1L	GSG1L	GSG1 like	146395	https://www.ncbi.nlm.nih.gov/gene/?term=146395
TBC1D2	TBC1D2	TBC1 domain family member 2	55357	https://www.ncbi.nlm.nih.gov/gene/?term=55357
AP1M2	AP1M2	adaptor related protein complex 1 subunit mu 2	10053	https://www.ncbi.nlm.nih.gov/gene/?term=10053
LTBP2	LTBP2	latent transforming growth factor beta binding protein 2	4053	https://www.ncbi.nlm.nih.gov/gene/?term=4053
GACAT2	GACAT2	gastric cancer associated transcript 2	100287082	https://www.ncbi.nlm.nih.gov/gene/?term=100287082
SOX9	SOX9	SRY-box 9	6662	https://www.ncbi.nlm.nih.gov/gene/?term=6662
VIM	VIM	vimentin	7431	https://www.ncbi.nlm.nih.gov/gene/?term=7431
ELAVL2	ELAVL2	ELAV like RNA binding protein 2	1993	https://www.ncbi.nlm.nih.gov/gene/?term=1993
HOXA-AS3	HOXA-AS3	HOXA cluster antisense RNA 3	100133311	https://www.ncbi.nlm.nih.gov/gene/?term=100133311
COPG2IT1	COPG2IT1	COPG2 imprinted transcript 1	53844	https://www.ncbi.nlm.nih.gov/gene/?term=53844
COX20P1	COX20P1	COX20, cytochrome c oxidase assembly factor pseudogene 1	100507102	https://www.ncbi.nlm.nih.gov/gene/?term=100507102
THSD7B	THSD7B	thrombospondin type 1 domain containing 7B	80731	https://www.ncbi.nlm.nih.gov/gene/?term=80731
ARNTL2	ARNTL2	aryl hydrocarbon receptor nuclear translocator like 2	56938	https://www.ncbi.nlm.nih.gov/gene/?term=56938
SSX2B	SSX2B	SSX family member 2B	727837	https://www.ncbi.nlm.nih.gov/gene/?term=727837
SLC9A3	SLC9A3	solute carrier family 9 member A3	6550	https://www.ncbi.nlm.nih.gov/gene/?term=6550
TPK1	TPK1	thiamin pyrophosphokinase 1	27010	https://www.ncbi.nlm.nih.gov/gene/?term=27010
MYO18B	MYO18B	myosin XVIIIB	84700	https://www.ncbi.nlm.nih.gov/gene/?term=84700
KLF2	KLF2	Kruppel like factor 2	10365	https://www.ncbi.nlm.nih.gov/gene/?term=10365
ITGB4	ITGB4	integrin subunit beta 4	3691	https://www.ncbi.nlm.nih.gov/gene/?term=3691
EPB41L4A-DT	EPB41L4A-DT	EPB41L4A divergent transcript	54508	https://www.ncbi.nlm.nih.gov/gene/?term=54508
SYNC	SYNC	syncoilin, intermediate filament protein	81493	https://www.ncbi.nlm.nih.gov/gene/?term=81493
HOXA3	HOXA3	homeobox A3	3200	https://www.ncbi.nlm.nih.gov/gene/?term=3200
NTSR1	NTSR1	neurotensin receptor 1	4923	https://www.ncbi.nlm.nih.gov/gene/?term=4923
CPNE5	CPNE5	copine 5	57699	https://www.ncbi.nlm.nih.gov/gene/?term=57699
GMPR	GMPR	guanosine monophosphate reductase	2766	https://www.ncbi.nlm.nih.gov/gene/?term=2766
KRTAP5-AS1	KRTAP5-AS1	KRTAP5-1/KRTAP5-2 antisense RNA 1	338651	https://www.ncbi.nlm.nih.gov/gene/?term=338651
OSR2	OSR2	odd-skipped related transciption factor 2	116039	https://www.ncbi.nlm.nih.gov/gene/?term=116039
OLFML1	OLFML1	olfactomedin like 1	283298	https://www.ncbi.nlm.nih.gov/gene/?term=283298
TMSB4X	TMSB4X	thymosin beta 4 X-linked	7114	https://www.ncbi.nlm.nih.gov/gene/?term=7114
GLT8D2	GLT8D2	glycosyltransferase 8 domain containing 2	83468	https://www.ncbi.nlm.nih.gov/gene/?term=83468
STAT6	STAT6	signal transducer and activator of transcription 6	6778	https://www.ncbi.nlm.nih.gov/gene/?term=6778
SEL1L3	SEL1L3	SEL1L family member 3	23231	https://www.ncbi.nlm.nih.gov/gene/?term=23231
DOCK3	DOCK3	dedicator of cytokinesis 3	1795	https://www.ncbi.nlm.nih.gov/gene/?term=1795
PLEKHD1	PLEKHD1	pleckstrin homology and coiled-coil domain containing D1	400224	https://www.ncbi.nlm.nih.gov/gene/?term=400224
FAS	FAS	Fas cell surface death receptor	355	https://www.ncbi.nlm.nih.gov/gene/?term=355
PRKD1	PRKD1	protein kinase D1	5587	https://www.ncbi.nlm.nih.gov/gene/?term=5587
OR2A7	OR2A7	olfactory receptor family 2 subfamily A member 7	401427	https://www.ncbi.nlm.nih.gov/gene/?term=401427
LINC02656	LINC02656	long intergenic non-protein coding RNA 2656	399716	https://www.ncbi.nlm.nih.gov/gene/?term=399716
TLR2	TLR2	toll like receptor 2	7097	https://www.ncbi.nlm.nih.gov/gene/?term=7097
SHC4	SHC4	SHC adaptor protein 4	399694	https://www.ncbi.nlm.nih.gov/gene/?term=399694
LINC01711	LINC01711	long intergenic non-protein coding RNA 1711	79160	https://www.ncbi.nlm.nih.gov/gene/?term=79160
GTF2IP7	GTF2IP7	general transcription factor IIi pseudogene 7	101927126	https://www.ncbi.nlm.nih.gov/gene/?term=101927126
EGF	EGF	epidermal growth factor	1950	https://www.ncbi.nlm.nih.gov/gene/?term=1950
FAM114A1	FAM114A1	family with sequence similarity 114 member A1	92689	https://www.ncbi.nlm.nih.gov/gene/?term=92689
RTN4RL2	RTN4RL2	reticulon 4 receptor like 2	349667	https://www.ncbi.nlm.nih.gov/gene/?term=349667
SAMD9	SAMD9	sterile alpha motif domain containing 9	54809	https://www.ncbi.nlm.nih.gov/gene/?term=54809
TBX18	TBX18	T-box 18	9096	https://www.ncbi.nlm.nih.gov/gene/?term=9096
TOR4A	TOR4A	torsin family 4 member A	54863	https://www.ncbi.nlm.nih.gov/gene/?term=54863
PTPN22	PTPN22	protein tyrosine phosphatase, non-receptor type 22	26191	https://www.ncbi.nlm.nih.gov/gene/?term=26191
PLSCR1	PLSCR1	phospholipid scramblase 1	5359	https://www.ncbi.nlm.nih.gov/gene/?term=5359
PPARG	PPARG	peroxisome proliferator activated receptor gamma	5468	https://www.ncbi.nlm.nih.gov/gene/?term=5468
YES1P1	YES1P1	YES1 pseudogene 1	7526	https://www.ncbi.nlm.nih.gov/gene/?term=7526
SLC46A3	SLC46A3	solute carrier family 46 member 3	283537	https://www.ncbi.nlm.nih.gov/gene/?term=283537
KCNN2	KCNN2	potassium calcium-activated channel subfamily N member 2	3781	https://www.ncbi.nlm.nih.gov/gene/?term=3781
TMPRSS11D	TMPRSS11D	transmembrane serine protease 11D	9407	https://www.ncbi.nlm.nih.gov/gene/?term=9407
RPL24P9	RPL24P9	NA	100129487	https://www.ncbi.nlm.nih.gov/gene/?term=100129487
TMEM211	TMEM211	transmembrane protein 211	255349	https://www.ncbi.nlm.nih.gov/gene/?term=255349
ERRFI1	ERRFI1	ERBB receptor feedback inhibitor 1	54206	https://www.ncbi.nlm.nih.gov/gene/?term=54206
TMSB4XP8	TMSB4XP8	TMSB4X pseudogene 8	7117	https://www.ncbi.nlm.nih.gov/gene/?term=7117
LRRC36	LRRC36	leucine rich repeat containing 36	55282	https://www.ncbi.nlm.nih.gov/gene/?term=55282
OR2A1-AS1	OR2A1-AS1	OR2A1 antisense RNA 1	101928492	https://www.ncbi.nlm.nih.gov/gene/?term=101928492
YAP1	YAP1	Yes associated protein 1	10413	https://www.ncbi.nlm.nih.gov/gene/?term=10413
MAGEA4	MAGEA4	MAGE family member A4	4103	https://www.ncbi.nlm.nih.gov/gene/?term=4103
HOXB8	HOXB8	homeobox B8	3218	https://www.ncbi.nlm.nih.gov/gene/?term=3218
CHRNA1	CHRNA1	cholinergic receptor nicotinic alpha 1 subunit	1134	https://www.ncbi.nlm.nih.gov/gene/?term=1134
GPC1	GPC1	glypican 1	2817	https://www.ncbi.nlm.nih.gov/gene/?term=2817
IL12RB1	IL12RB1	interleukin 12 receptor subunit beta 1	3594	https://www.ncbi.nlm.nih.gov/gene/?term=3594
SYT17	SYT17	synaptotagmin 17	51760	https://www.ncbi.nlm.nih.gov/gene/?term=51760
NMRAL2P	NMRAL2P	NmrA like redox sensor 2, pseudogene	344887	https://www.ncbi.nlm.nih.gov/gene/?term=344887
AMBP	AMBP	alpha-1-microglobulin/bikunin precursor	259	https://www.ncbi.nlm.nih.gov/gene/?term=259
MTMR11	MTMR11	myotubularin related protein 11	10903	https://www.ncbi.nlm.nih.gov/gene/?term=10903
RPSAP52	RPSAP52	ribosomal protein SA pseudogene 52	204010	https://www.ncbi.nlm.nih.gov/gene/?term=204010
PTCHD1	PTCHD1	patched domain containing 1	139411	https://www.ncbi.nlm.nih.gov/gene/?term=139411
LINC02616	LINC02616	long intergenic non-protein coding RNA 2616	100508631	https://www.ncbi.nlm.nih.gov/gene/?term=100508631
LRFN5	LRFN5	leucine rich repeat and fibronectin type III domain containing 5	145581	https://www.ncbi.nlm.nih.gov/gene/?term=145581
ASTN2-AS1	ASTN2-AS1	ASTN2 antisense RNA 1	100128505	https://www.ncbi.nlm.nih.gov/gene/?term=100128505
TNXB	TNXB	tenascin XB	7148	https://www.ncbi.nlm.nih.gov/gene/?term=7148
RPS4Y1	RPS4Y1	ribosomal protein S4 Y-linked 1	6192	https://www.ncbi.nlm.nih.gov/gene/?term=6192
CD1D	CD1D	CD1d molecule	912	https://www.ncbi.nlm.nih.gov/gene/?term=912
HOXB5	HOXB5	homeobox B5	3215	https://www.ncbi.nlm.nih.gov/gene/?term=3215
CACNA2D2	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2	9254	https://www.ncbi.nlm.nih.gov/gene/?term=9254
FOXQ1	FOXQ1	forkhead box Q1	94234	https://www.ncbi.nlm.nih.gov/gene/?term=94234
PDZK1IP1	PDZK1IP1	PDZK1 interacting protein 1	10158	https://www.ncbi.nlm.nih.gov/gene/?term=10158
FBXO27	FBXO27	F-box protein 27	126433	https://www.ncbi.nlm.nih.gov/gene/?term=126433
RPL7P50	RPL7P50	ribosomal protein L7 pseudogene 50	729449	https://www.ncbi.nlm.nih.gov/gene/?term=729449
SYDE2	SYDE2	synapse defective Rho GTPase homolog 2	84144	https://www.ncbi.nlm.nih.gov/gene/?term=84144
PYGL	PYGL	glycogen phosphorylase L	5836	https://www.ncbi.nlm.nih.gov/gene/?term=5836
TPO	TPO	thyroid peroxidase	7173	https://www.ncbi.nlm.nih.gov/gene/?term=7173
SCAT1	SCAT1	S-phase cancer associated transcript 1	101928710	https://www.ncbi.nlm.nih.gov/gene/?term=101928710
PITX2	PITX2	paired like homeodomain 2	5308	https://www.ncbi.nlm.nih.gov/gene/?term=5308
HLA-DMA	HLA-DMA	major histocompatibility complex, class II, DM alpha	3108	https://www.ncbi.nlm.nih.gov/gene/?term=3108
SLC44A4	SLC44A4	solute carrier family 44 member 4	80736	https://www.ncbi.nlm.nih.gov/gene/?term=80736
HOXA11	HOXA11	homeobox A11	3207	https://www.ncbi.nlm.nih.gov/gene/?term=3207
IL24	IL24	interleukin 24	11009	https://www.ncbi.nlm.nih.gov/gene/?term=11009
CECR2	CECR2	CECR2, histone acetyl-lysine reader	27443	https://www.ncbi.nlm.nih.gov/gene/?term=27443
IRS1	IRS1	insulin receptor substrate 1	3667	https://www.ncbi.nlm.nih.gov/gene/?term=3667
PHLDB2	PHLDB2	pleckstrin homology like domain family B member 2	90102	https://www.ncbi.nlm.nih.gov/gene/?term=90102
HOXB-AS2	HOXB-AS2	HOXB cluster antisense RNA 2	100874350	https://www.ncbi.nlm.nih.gov/gene/?term=100874350
CCL26	CCL26	C-C motif chemokine ligand 26	10344	https://www.ncbi.nlm.nih.gov/gene/?term=10344
PRDM8	PRDM8	PR/SET domain 8	56978	https://www.ncbi.nlm.nih.gov/gene/?term=56978
LINC01348	LINC01348	long intergenic non-protein coding RNA 1348	731656	https://www.ncbi.nlm.nih.gov/gene/?term=731656
SOX9-AS1	SOX9-AS1	SOX9 antisense RNA 1	400618	https://www.ncbi.nlm.nih.gov/gene/?term=400618
PAX6	PAX6	paired box 6	5080	https://www.ncbi.nlm.nih.gov/gene/?term=5080
COL27A1	COL27A1	collagen type XXVII alpha 1 chain	85301	https://www.ncbi.nlm.nih.gov/gene/?term=85301
NGFR	NGFR	nerve growth factor receptor	4804	https://www.ncbi.nlm.nih.gov/gene/?term=4804
ABI3BP	ABI3BP	ABI family member 3 binding protein	25890	https://www.ncbi.nlm.nih.gov/gene/?term=25890
ZNF114-AS1	ZNF114-AS1	ZNF114 antisense RNA 1	105372429	https://www.ncbi.nlm.nih.gov/gene/?term=105372429
NEXN	NEXN	nexilin F-actin binding protein	91624	https://www.ncbi.nlm.nih.gov/gene/?term=91624
PTPN3	PTPN3	protein tyrosine phosphatase, non-receptor type 3	5774	https://www.ncbi.nlm.nih.gov/gene/?term=5774
CASP14	CASP14	caspase 14	23581	https://www.ncbi.nlm.nih.gov/gene/?term=23581
KL	KL	klotho	9365	https://www.ncbi.nlm.nih.gov/gene/?term=9365
PSG9	PSG9	pregnancy specific beta-1-glycoprotein 9	5678	https://www.ncbi.nlm.nih.gov/gene/?term=5678
LRRC17	LRRC17	leucine rich repeat containing 17	10234	https://www.ncbi.nlm.nih.gov/gene/?term=10234
FAM167A-AS1	FAM167A-AS1	FAM167A antisense RNA 1	83656	https://www.ncbi.nlm.nih.gov/gene/?term=83656
ZNF239	ZNF239	zinc finger protein 239	8187	https://www.ncbi.nlm.nih.gov/gene/?term=8187
S100A6	S100A6	S100 calcium binding protein A6	6277	https://www.ncbi.nlm.nih.gov/gene/?term=6277
HKDC1	HKDC1	hexokinase domain containing 1	80201	https://www.ncbi.nlm.nih.gov/gene/?term=80201
EPHB6	EPHB6	EPH receptor B6	2051	https://www.ncbi.nlm.nih.gov/gene/?term=2051
ROBO4	ROBO4	roundabout guidance receptor 4	54538	https://www.ncbi.nlm.nih.gov/gene/?term=54538
SDS	SDS	serine dehydratase	10993	https://www.ncbi.nlm.nih.gov/gene/?term=10993
BAIAP3	BAIAP3	BAI1 associated protein 3	8938	https://www.ncbi.nlm.nih.gov/gene/?term=8938
TRARG1	TRARG1	trafficking regulator of GLUT4 (SLC2A4) 1	286753	https://www.ncbi.nlm.nih.gov/gene/?term=286753
TNNI2	TNNI2	troponin I2, fast skeletal type	7136	https://www.ncbi.nlm.nih.gov/gene/?term=7136
HSD11B1-AS1	HSD11B1-AS1	HSD11B1 antisense RNA 1	101930114	https://www.ncbi.nlm.nih.gov/gene/?term=101930114
CES4A	CES4A	carboxylesterase 4A	283848	https://www.ncbi.nlm.nih.gov/gene/?term=283848
CALN1	CALN1	calneuron 1	83698	https://www.ncbi.nlm.nih.gov/gene/?term=83698
SLC1A6	SLC1A6	solute carrier family 1 member 6	6511	https://www.ncbi.nlm.nih.gov/gene/?term=6511
LINC02492	LINC02492	long intergenic non-protein coding RNA 2492	100506272	https://www.ncbi.nlm.nih.gov/gene/?term=100506272
LNCAROD	LNCAROD	lncRNA activating regulator of DKK1	101928687	https://www.ncbi.nlm.nih.gov/gene/?term=101928687
DIRAS3	DIRAS3	DIRAS family GTPase 3	9077	https://www.ncbi.nlm.nih.gov/gene/?term=9077
HHIP-AS1	HHIP-AS1	HHIP antisense RNA 1	646576	https://www.ncbi.nlm.nih.gov/gene/?term=646576
JPH3	JPH3	junctophilin 3	57338	https://www.ncbi.nlm.nih.gov/gene/?term=57338
UTRN	UTRN	utrophin	7402	https://www.ncbi.nlm.nih.gov/gene/?term=7402
LINC01204	LINC01204	long intergenic non-protein coding RNA 1204	101927528	https://www.ncbi.nlm.nih.gov/gene/?term=101927528
MGAM2	MGAM2	maltase-glucoamylase 2 (putative)	93432	https://www.ncbi.nlm.nih.gov/gene/?term=93432
TM4SF19-AS1	TM4SF19-AS1	TM4SF19 antisense RNA 1	100874214	https://www.ncbi.nlm.nih.gov/gene/?term=100874214
DIO3	DIO3	iodothyronine deiodinase 3	1735	https://www.ncbi.nlm.nih.gov/gene/?term=1735
XPNPEP2	XPNPEP2	X-prolyl aminopeptidase 2	7512	https://www.ncbi.nlm.nih.gov/gene/?term=7512
IL17RD	IL17RD	interleukin 17 receptor D	54756	https://www.ncbi.nlm.nih.gov/gene/?term=54756
LDHD	LDHD	lactate dehydrogenase D	197257	https://www.ncbi.nlm.nih.gov/gene/?term=197257
NTS	NTS	neurotensin	4922	https://www.ncbi.nlm.nih.gov/gene/?term=4922
ZNF99	ZNF99	zinc finger protein 99	7652	https://www.ncbi.nlm.nih.gov/gene/?term=7652
PRR18	PRR18	proline rich 18	285800	https://www.ncbi.nlm.nih.gov/gene/?term=285800
SLC15A3	SLC15A3	solute carrier family 15 member 3	51296	https://www.ncbi.nlm.nih.gov/gene/?term=51296
PAX8	PAX8	paired box 8	7849	https://www.ncbi.nlm.nih.gov/gene/?term=7849
SLC35D3	SLC35D3	solute carrier family 35 member D3	340146	https://www.ncbi.nlm.nih.gov/gene/?term=340146
NABP1	NABP1	nucleic acid binding protein 1	64859	https://www.ncbi.nlm.nih.gov/gene/?term=64859
SLC5A12	SLC5A12	solute carrier family 5 member 12	159963	https://www.ncbi.nlm.nih.gov/gene/?term=159963
LMNTD1	LMNTD1	lamin tail domain containing 1	160492	https://www.ncbi.nlm.nih.gov/gene/?term=160492
CASC18	CASC18	cancer susceptibility 18	101929110	https://www.ncbi.nlm.nih.gov/gene/?term=101929110
C6orf118	C6orf118	chromosome 6 open reading frame 118	168090	https://www.ncbi.nlm.nih.gov/gene/?term=168090
DKK1	DKK1	dickkopf WNT signaling pathway inhibitor 1	22943	https://www.ncbi.nlm.nih.gov/gene/?term=22943
ATP6V0A4	ATP6V0A4	ATPase H+ transporting V0 subunit a4	50617	https://www.ncbi.nlm.nih.gov/gene/?term=50617
ADGRF5	ADGRF5	adhesion G protein-coupled receptor F5	221395	https://www.ncbi.nlm.nih.gov/gene/?term=221395
LINC01524	LINC01524	long intergenic non-protein coding RNA 1524	101927700	https://www.ncbi.nlm.nih.gov/gene/?term=101927700
BCAM	BCAM	basal cell adhesion molecule (Lutheran blood group)	4059	https://www.ncbi.nlm.nih.gov/gene/?term=4059
PAX3	PAX3	paired box 3	5077	https://www.ncbi.nlm.nih.gov/gene/?term=5077
MTCO3P15	MTCO3P15	MT-CO3 pseudogene 15	107075154	https://www.ncbi.nlm.nih.gov/gene/?term=107075154
CIART	CIART	circadian associated repressor of transcription	148523	https://www.ncbi.nlm.nih.gov/gene/?term=148523
CRIM1-DT	CRIM1-DT	CRIM1 divergent transcript	100288911	https://www.ncbi.nlm.nih.gov/gene/?term=100288911
THSD4	THSD4	thrombospondin type 1 domain containing 4	79875	https://www.ncbi.nlm.nih.gov/gene/?term=79875
EPS8	EPS8	epidermal growth factor receptor pathway substrate 8	2059	https://www.ncbi.nlm.nih.gov/gene/?term=2059
MROH2B	MROH2B	maestro heat like repeat family member 2B	133558	https://www.ncbi.nlm.nih.gov/gene/?term=133558
UACA	UACA	uveal autoantigen with coiled-coil domains and ankyrin repeats	55075	https://www.ncbi.nlm.nih.gov/gene/?term=55075
LINC01451	LINC01451	long intergenic non-protein coding RNA 1451	401561	https://www.ncbi.nlm.nih.gov/gene/?term=401561
DNAH5	DNAH5	dynein axonemal heavy chain 5	1767	https://www.ncbi.nlm.nih.gov/gene/?term=1767
RPRML	RPRML	reprimo like	388394	https://www.ncbi.nlm.nih.gov/gene/?term=388394
CXCL3	CXCL3	C-X-C motif chemokine ligand 3	2921	https://www.ncbi.nlm.nih.gov/gene/?term=2921
SLCO1A2	SLCO1A2	solute carrier organic anion transporter family member 1A2	6579	https://www.ncbi.nlm.nih.gov/gene/?term=6579
PRKCG	PRKCG	protein kinase C gamma	5582	https://www.ncbi.nlm.nih.gov/gene/?term=5582
SAGE1	SAGE1	sarcoma antigen 1	55511	https://www.ncbi.nlm.nih.gov/gene/?term=55511
TMEM100	TMEM100	transmembrane protein 100	55273	https://www.ncbi.nlm.nih.gov/gene/?term=55273
ARSJ	ARSJ	arylsulfatase family member J	79642	https://www.ncbi.nlm.nih.gov/gene/?term=79642
PTGR1	PTGR1	prostaglandin reductase 1	22949	https://www.ncbi.nlm.nih.gov/gene/?term=22949
KIAA1549L	KIAA1549L	KIAA1549 like	25758	https://www.ncbi.nlm.nih.gov/gene/?term=25758
SLC9A3-AS1	SLC9A3-AS1	SLC9A3 antisense RNA 1	100288152	https://www.ncbi.nlm.nih.gov/gene/?term=100288152
GRAMD4P4	GRAMD4P4	GRAM domain containing 4 pseudogene 4	106480248	https://www.ncbi.nlm.nih.gov/gene/?term=106480248
LINC00423	LINC00423	long intergenic non-protein coding RNA 423	100874167	https://www.ncbi.nlm.nih.gov/gene/?term=100874167
GALNT16	GALNT16	polypeptide N-acetylgalactosaminyltransferase 16	57452	https://www.ncbi.nlm.nih.gov/gene/?term=57452
INPP5D	INPP5D	inositol polyphosphate-5-phosphatase D	3635	https://www.ncbi.nlm.nih.gov/gene/?term=3635
NOXA1	NOXA1	NADPH oxidase activator 1	10811	https://www.ncbi.nlm.nih.gov/gene/?term=10811
DUSP10	DUSP10	dual specificity phosphatase 10	11221	https://www.ncbi.nlm.nih.gov/gene/?term=11221
CA8	CA8	carbonic anhydrase 8	767	https://www.ncbi.nlm.nih.gov/gene/?term=767
LINC02454	LINC02454	long intergenic non-protein coding RNA 2454	105369807	https://www.ncbi.nlm.nih.gov/gene/?term=105369807
TPMTP1	TPMTP1	thiopurine S-methyltransferase pseudogene 1	400650	https://www.ncbi.nlm.nih.gov/gene/?term=400650
KCTD19	KCTD19	potassium channel tetramerization domain containing 19	146212	https://www.ncbi.nlm.nih.gov/gene/?term=146212
TDRD5	TDRD5	tudor domain containing 5	163589	https://www.ncbi.nlm.nih.gov/gene/?term=163589
QSOX1	QSOX1	quiescin sulfhydryl oxidase 1	5768	https://www.ncbi.nlm.nih.gov/gene/?term=5768
OR2A42	OR2A42	olfactory receptor family 2 subfamily A member 42	402317	https://www.ncbi.nlm.nih.gov/gene/?term=402317
IFIT3	IFIT3	interferon induced protein with tetratricopeptide repeats 3	3437	https://www.ncbi.nlm.nih.gov/gene/?term=3437
LTF	LTF	lactotransferrin	4057	https://www.ncbi.nlm.nih.gov/gene/?term=4057
RIMBP3B	RIMBP3B	RIMS binding protein 3B	440804	https://www.ncbi.nlm.nih.gov/gene/?term=440804
TOGARAM2	TOGARAM2	TOG array regulator of axonemal microtubules 2	165186	https://www.ncbi.nlm.nih.gov/gene/?term=165186
LINC02595	LINC02595	long intergenic non-protein coding RNA 2595	401585	https://www.ncbi.nlm.nih.gov/gene/?term=401585
LINC01776	LINC01776	long intergenic non-protein coding RNA 1776	729987	https://www.ncbi.nlm.nih.gov/gene/?term=729987
